"skill_id","skills","demand_count","avg_salary"
0,"sql","195",""
1,"python","158",""
181,"excel","110",""
182,"tableau","74",""
183,"power bi","71",""
5,"r","69",""
74,"azure","40",""
76,"aws","31",""
8,"go","25",""
185,"looker","24",""
93,"pandas","21",""
80,"snowflake","18",""
215,"flow","16",""
188,"word","16",""
196,"powerpoint","16",""
79,"oracle","14",""
94,"numpy","13",""
77,"bigquery","13",""
75,"databricks","12",""
4,"java","12",""
92,"spark","12",""
61,"sql server","12",""
81,"gcp","11",""
78,"redshift","11",""
187,"qlik","9",""
210,"git","9",""
7,"sas","8",""
186,"sas","8",""
2,"nosql","8",""
22,"vba","8",""
184,"dax","8",""
214,"docker","8",""
13,"c++","8",""
56,"mysql","7",""
201,"alteryx","7",""
197,"ssrs","6",""
198,"outlook","6",""
97,"hadoop","6",""
15,"matlab","6",""
26,"c","6",""
192,"sheets","6",""
216,"github","5",""
62,"mongodb","5",""
106,"scikit-learn","5",""
57,"postgresql","5",""
102,"jupyter","5",""
18,"mongodb","5",""
213,"kubernetes","5",""
96,"airflow","5",""
141,"express","4",""
3,"scala","4",""
9,"javascript","4",""
107,"tidyverse","4",""
112,"plotly","4",""
169,"linux","4",""
194,"ssis","4",""
212,"terraform","4",""
233,"jira","4",""
95,"pyspark","3",""
191,"microstrategy","3",""
189,"sap","3",""
119,"dplyr","3",""
115,"ggplot2","3",""
105,"gdpr","3",""
108,"matplotlib","3",""
14,"c#","3",""
211,"jenkins","3",""
199,"spss","3",""
195,"sharepoint","3",""
120,"seaborn","3",""
99,"tensorflow","2",""
139,"django","2",""
98,"kafka","2",""
39,"rust","2",""
35,"swift","2",""
29,"julia","2",""
25,"php","2",""
16,"t-sql","2",""
12,"bash","2",""
6,"shell","2",""
117,"ionic","1",""
219,"atlassian","1",""
220,"gitlab","1",""
168,"unix","1",""
101,"pytorch","1",""
200,"cognos","1",""
111,"rshiny","1",""
202,"ms access","1",""
204,"visio","1",""
21,"visual basic","1",""
177,"arch","1",""
237,"asana","1",""
247,"slack","1",""
234,"confluence","1",""
140,"vue.js","1",""
116,"graphql","1",""
64,"dynamodb","1",""
59,"elasticsearch","1",""
66,"firebase","1",""
82,"firebase","1",""
55,"redis","1",""
193,"splunk","1",""
235,"planner","1",""
